feedback_id,feedback_rating,customer_id,item_id
1,8,7,9
2,10,1,1
3,9,5,1
4,6,4,8
5,7,7,6
6,10,6,2
7,9,8,3
8,6,10,1
9,6,8,5
10,7,8,10
11,7,8,1
12,9,8,8
13,6,3,6
14,10,6,10
15,10,8,7
16,10,6,10
17,7,6,6
18,6,4,5
19,9,4,2
20,6,1,6
21,7,3,8
22,9,7,3
23,10,6,5
24,9,6,5
25,7,4,3
26,6,2,6
27,9,5,3
28,8,8,2
29,10,2,9
30,7,3,3
31,8,2,4
32,9,7,5
33,10,2,7
34,7,9,10
35,9,5,10
36,8,7,2
37,10,4,6
38,10,5,3
39,9,5,3
40,10,9,9
41,6,3,3
42,6,6,9
43,6,7,1
44,7,5,7
45,9,7,2
46,8,3,2
47,9,7,7
48,9,5,1
49,8,10,10
50,8,9,8
51,8,10,8
52,9,9,5
53,10,7,5
54,7,1,5
55,10,7,8
56,8,9,3
57,6,10,10
58,6,5,4
59,9,7,7
60,10,9,9
61,9,10,3
62,8,8,6
63,9,6,5
64,7,3,6
65,8,2,7
66,9,3,8
67,7,5,3
68,6,5,1
69,10,2,2
70,7,4,4
71,6,10,1
72,9,1,2
73,9,9,9
74,6,3,6
75,9,9,2
76,6,6,10
77,6,3,3
78,9,3,5
79,9,6,8
80,7,8,8
81,8,8,1
82,8,8,7
83,9,7,7
84,10,9,9
85,7,8,4
86,9,3,5
87,8,5,6
88,10,10,6
89,10,10,6
90,9,1,9
91,7,7,5
92,8,9,1
93,10,6,8
94,6,2,6
95,8,8,2
96,10,1,5
97,6,2,3
98,10,1,7
99,9,5,4
100,9,5,8
101,9,10,6
102,10,3,5
103,8,5,6
104,6,1,7
105,7,2,10
106,8,5,4
107,8,1,9
108,7,10,4
109,7,3,8
110,8,6,8
111,9,4,7
112,6,6,2
113,6,5,9
114,9,3,8
115,8,3,6
116,10,6,3
117,6,7,9
118,7,7,1
119,8,10,6
120,6,7,7
121,6,2,8
122,9,1,7
123,7,5,1
124,6,10,9
125,6,8,10
126,8,5,4
127,8,9,3
128,9,6,7
129,9,9,4
130,6,7,9
131,10,2,9
132,7,2,2
133,9,8,5
134,10,5,3
135,6,1,2
136,10,7,4
137,9,10,6
138,7,10,10
139,6,10,5
140,9,3,8
141,8,10,10
142,6,9,5
143,6,5,10
144,10,4,4
